objID,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,z-type,z-peaks
1237645943978656410,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(74, 52)(44, 31)]"
1237657069549716539,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(67, 80)(62, 96)]"
1237657070092616410,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(64, 73)(29, 36)]"
1237657071158100357,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(20, 92)(50, 51)]"
1237657189831606448,NO_PEAK,"[]",SINGLE,"[(50, 49)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237657189834032063,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(22, 87)(44, 50)]"
1237657190908298203,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(65, 18)]",DOUBLE,"[(65, 17)(35, 51)]"
1237657191447724417,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(95, 97)(88, 24)]"
1237657191447789830,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(64, 18)(31, 66)]"
1237657192516682671,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(65, 68)(26, 28)]"
1237657192519172527,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(67, 69)(51, 51)]"
1237660239777825095,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237660240312533689,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(14, 24)]",SINGLE,"[(14, 23)]",DOUBLE,"[(94, 35)(26, 97)]"
1237660240312599464,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(27, 90)(53, 35)]"
1237660240314630547,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(35, 27)]",DOUBLE,"[(96, 47)(51, 49)]"
1237660240315089535,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(1, 37)]",NO_PEAK,"[]",DOUBLE,"[(72, 82)(1, 38)]"
1237660241386144832,SINGLE,"[(15, 5)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(47, 91)(25, 90)]"
1237660241923604933,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(16, 83)(77, 88)]"
1237663204919541858,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237663204919673416,NO_PEAK,"[]",SINGLE,"[(51, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(66, 24)]"
1237663204919869837,NO_PEAK,"[]",SINGLE,"[(49, 52)]",SINGLE,"[(50, 49)]",NO_PEAK,"[]",DOUBLE,"[(22, 14)(41, 15)]"
1237663204921114997,SINGLE,"[(24, 6)]",NO_PEAK,"[]",SINGLE,"[(36, 30)]",SINGLE,"[(37, 31)]",DOUBLE,"[(37, 31)(48, 52)]"
1237663204922949817,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(49, 51)(85, 4)]"
1237663238204031805,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(43, 3)]",DOUBLE,"[(25, 73)(35, 49)]"
1237663239272596152,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663239279215046,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(1, 20)]",SINGLE,"[(1, 20)]",DOUBLE,"[(80, 18)(1, 20)]"
1237663277929136202,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(49, 32)]",NO_PEAK,"[]",DOUBLE,"[(49, 32)(52, 99)]"
1237663543696753860,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(18, 97)(20, 15)]"
1237663716018226015,SINGLE,"[(5, 18)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(26, 54)]"
1237663782592119677,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 51)(36, 39)]"
1237663782593429541,NO_PEAK,"[]",SINGLE,"[(26, 85)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663782598673267,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(84, 92)(26, 91)]"
1237663782600442465,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(34, 26)]",SINGLE,"[(35, 26)]",DOUBLE,"[(35, 72)(50, 50)]"
1237663782601295018,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(99, 29)(4, 63)]"
1237663783125058044,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(1, 2)(45, 89)]"
1237663783125582978,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(20, 62)(69, 2)]"
1237663783127942342,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(29, 41)]",NO_PEAK,"[]"
1237663783127811081,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(80, 10)(50, 50)]"
1237663783127810676,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(21, 58)(52, 51)]"
1237663783127614391,SINGLE,"[(20, 22)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(10, 90)]",NO_PEAK,"[]"
1237663783127221053,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(21, 8)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(44, 4)]"
1237663783128990379,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(63, 44)(75, 6)]"
1237663783126893739,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(32, 45)]",DOUBLE,"[(32, 44)(45, 73)]"
1237663783129841675,NO_PEAK,"[]",SINGLE,"[(32, 38)]",DOUBLE,"[(31, 38)(32, 31)]",DOUBLE,"[(30, 38)(1, 51)]",DOUBLE,"[(31, 36)(1, 50)]"
1237663783126761840,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(39, 26)]",DOUBLE,"[(50, 50)(48, 18)]"
1237663783126696845,SINGLE,"[(6, 99)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(3, 83)(50, 50)]"
1237663783126630765,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(22, 52)]",SINGLE,"[(26, 25)]",DOUBLE,"[(22, 52)(50, 50)]"
1237663783126565368,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663783126237920,SINGLE,"[(73, 98)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(49, 50)]",DOUBLE,"[(22, 92)(83, 25)]"
1237663783125910342,SINGLE,"[(98, 17)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(47, 33)]",DOUBLE,"[(50, 50)(47, 33)]"
1237663783125713450,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(79, 94)]"
1237663783125320552,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663783124861708,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(56, 81)(75, 50)]"
1237663783124403469,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(13, 10)]"
1237663783124009770,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663783123944215,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(4, 97)(50, 25)]"
1237663783123943919,SINGLE,"[(93, 49)]",NO_PEAK,"[]",SINGLE,"[(54, 30)]",NO_PEAK,"[]",DOUBLE,"[(54, 30)(50, 50)]"
1237663782602802060,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663782602802015,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(82, 99)(76, 1)]"
1237663782602539452,SINGLE,"[(47, 71)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(5, 52)]"
1237663782602408684,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(74, 94)(56, 95)]"
1237663782602081162,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(27, 49)(60, 90)]"
1237663782601687826,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(11, 20)]",DOUBLE,"[(78, 38)(59, 53)]"
1237663782601621847,SINGLE,"[(17, 96)]",NO_PEAK,"[]",SINGLE,"[(51, 51)]",NO_PEAK,"[]",DOUBLE,"[(50, 51)(47, 24)]"
1237663782601294308,SINGLE,"[(12, 17)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(46, 66)(64, 86)]"
1237663782601228979,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663782601228810,SINGLE,"[(94, 94)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(1, 84)(56, 24)]"
1237663782601163728,SINGLE,"[(51, 46)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663782601163134,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663782600704870,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663782600443144,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(1, 89)(31, 43)]"
1237663782600245739,SINGLE,"[(48, 19)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(71, 96)(82, 31)]"
1237663782599918751,SINGLE,"[(30, 77)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(1, 9)]"
1237663782599852728,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(99, 67)(89, 96)]"
1237663782599721632,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(34, 69)(85, 58)]"
1237663783138952339,SINGLE,"[(27, 96)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(22, 28)]",DOUBLE,"[(78, 26)(68, 5)]"
1237663782598542200,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663782598411169,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(80, 53)(36, 87)]"
1237663782598017838,SINGLE,"[(87, 93)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(32, 41)]",DOUBLE,"[(32, 42)(65, 30)]"
1237663782597952728,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(19, 7)]",NO_PEAK,"[]"
1237663782597951777,SINGLE,"[(31, 17)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 51)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237663782597493816,SINGLE,"[(59, 44)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(93, 13)(69, 20)]"
1237663782597493543,SINGLE,"[(17, 20)]",NO_PEAK,"[]",SINGLE,"[(19, 22)]",SINGLE,"[(20, 23)]",DOUBLE,"[(20, 22)(50, 51)]"
1237663782597166002,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(39, 9)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(42, 57)]"
1237663782597034406,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(49, 85)(9, 48)]"
1237663782596182357,SINGLE,"[(49, 50)]",DOUBLE,"[(50, 50)(43, 51)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663782595920533,SINGLE,"[(48, 92)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(58, 61)(81, 44)]"
1237663783143801354,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(5, 59)(51, 63)]"
1237663782595789709,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(99, 23)(77, 59)]"
1237663782595592703,NO_PEAK,"[]",SINGLE,"[(11, 17)]",SINGLE,"[(11, 17)]",SINGLE,"[(11, 17)]",NO_PEAK,"[]"
1237663782595396855,SINGLE,"[(98, 14)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(54, 93)(1, 47)]"
1237663782595265661,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(27, 33)(72, 21)]"
1237663782595200101,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(4, 25)]",DOUBLE,"[(3, 26)(10, 34)]"
1237663782595199401,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(42, 30)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663782594543866,SINGLE,"[(22, 33)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",SINGLE,"[(9, 25)]",NO_PEAK,"[]"
1237663782594085527,SINGLE,"[(44, 42)]",NO_PEAK,"[]",SINGLE,"[(30, 25)]",SINGLE,"[(31, 24)]",DOUBLE,"[(50, 50)(30, 24)]"
1237663782593561742,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(20, 23)]",DOUBLE,"[(57, 9)(20, 24)]"
1237663783660683722,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(38, 45)]",DOUBLE,"[(38, 46)(74, 77)]"
1237663782593560655,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(12, 1)(36, 16)]"
1237663782593364771,SINGLE,"[(4, 94)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(37, 74)(85, 52)]"
1237663782593102860,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(20, 70)(83, 26)]"
1237663782592905851,SINGLE,"[(30, 45)]",NO_PEAK,"[]",SINGLE,"[(60, 15)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663783662585006,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(27, 44)(36, 99)]"
1237663782592512781,SINGLE,"[(10, 57)]",SINGLE,"[(61, 30)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(99, 35)(46, 62)]"
1237663782591726564,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(74, 38)(47, 1)]"
1237663782591333054,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 49)]",NO_PEAK,"[]",DOUBLE,"[(13, 49)(46, 43)]"
1237663782590612414,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(51, 51)(87, 84)]"
1237663782590546369,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 49)(17, 7)]"
1237663782590022012,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(3, 22)]",NO_PEAK,"[]",DOUBLE,"[(79, 37)(86, 10)]"
1237663782589956551,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663782589170718,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(47, 99)(96, 11)]"
1237663782589039619,SINGLE,"[(50, 63)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(31, 19)]",DOUBLE,"[(8, 37)(30, 19)]"
1237663782588908441,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(6, 57)]",NO_PEAK,"[]",DOUBLE,"[(95, 21)(75, 35)]"
1237663782588318095,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(89, 22)]"
1237663716555883660,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663716555489378,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(25, 31)]",DOUBLE,"[(98, 2)(99, 15)]"
1237663716554900338,SINGLE,"[(9, 10)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663716554834556,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663716554704222,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(11, 64)(21, 91)]"
1237663716554702863,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663716019602160,SINGLE,"[(26, 4)]",SINGLE,"[(28, 36)]",SINGLE,"[(29, 36)]",SINGLE,"[(29, 36)]",NO_PEAK,"[]"
1237663716018618870,SINGLE,"[(99, 89)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(51, 50)(62, 76)]"
1237663716018554201,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(80, 51)(48, 76)]"
1237663716018226200,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663716017701525,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663716017701411,SINGLE,"[(48, 16)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663716017570868,SINGLE,"[(11, 40)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(68, 77)(11, 17)]"
1237663716017504915,SINGLE,"[(27, 27)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663716017439297,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(51, 48)]",NO_PEAK,"[]",DOUBLE,"[(50, 49)(53, 82)]"
1237663716017308939,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(49, 51)(67, 37)]"
1237663716016915318,SINGLE,"[(30, 54)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(30, 53)]",NO_PEAK,"[]"
1237663716016718786,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(74, 36)(14, 11)]"
1237663543696622285,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(80, 91)(84, 58)]"
1237663543696425933,DOUBLE,"[(28, 12)(32, 12)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(30, 18)(30, 13)]"
1237663278467252387,NO_PEAK,"[]",SINGLE,"[(35, 40)]",SINGLE,"[(36, 41)]",SINGLE,"[(35, 40)]",NO_PEAK,"[]"
1237663278467187106,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(26, 37)]",NO_PEAK,"[]",DOUBLE,"[(32, 54)(26, 94)]"
1237663278466793778,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663783670186092,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237663278466401075,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663278465942141,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663278465025007,SINGLE,"[(24, 17)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(25, 15)]",DOUBLE,"[(1, 90)(19, 50)]"
1237663278464761910,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663278464696934,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(76, 62)]",NO_PEAK,"[]",DOUBLE,"[(14, 50)(35, 1)]"
1237663278464696722,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(75, 74)(48, 51)]"
1237663277929923078,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(29, 34)]",DOUBLE,"[(50, 50)(29, 33)]"
1237663277929464350,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(76, 94)(93, 88)]"
1237663277928612779,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(47, 20)]",NO_PEAK,"[]",DOUBLE,"[(48, 20)(16, 42)]"
1237663277928547180,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 49)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(7, 16)]"
1237663277928416303,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(27, 50)]",NO_PEAK,"[]"
1237663277928284197,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(2, 12)]"
1237663277392397425,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(35, 6)(84, 6)]"
1237663275781456285,SINGLE,"[(37, 23)]",NO_PEAK,"[]",SINGLE,"[(24, 19)]",SINGLE,"[(24, 19)]",DOUBLE,"[(24, 18)(50, 50)]"
1237663275781391064,SINGLE,"[(99, 74)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(74, 43)(14, 95)]"
1237663275780997805,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(27, 14)]"
1237663239278494924,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663239278363600,SINGLE,"[(19, 5)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(21, 5)]",NO_PEAK,"[]"
1237663239278298353,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663239278297655,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(20, 55)(90, 10)]"
1237663783678575594,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(82, 81)(16, 84)]"
1237663239278167108,SINGLE,"[(28, 50)]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663239278035454,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(23, 43)]",DOUBLE,"[(50, 51)(63, 58)]"
1237663239277708366,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(68, 20)(54, 46)]"
1237663239274431052,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663239272923346,SINGLE,"[(51, 49)]",SINGLE,"[(51, 49)]",SINGLE,"[(12, 16)]",SINGLE,"[(12, 17)]",DOUBLE,"[(65, 1)(60, 82)]"
1237663239272858210,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(16, 54)]",NO_PEAK,"[]"
1237663239272465292,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663239272268225,SINGLE,"[(92, 66)]",NO_PEAK,"[]",SINGLE,"[(51, 50)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663239272137270,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(51, 50)]",NO_PEAK,"[]"
1237663239271744095,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663239271743811,SINGLE,"[(9, 66)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(1, 87)(1, 41)]"
1237663784198209851,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 51)(1, 94)]"
1237663239269384929,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]"
1237663784199061613,SINGLE,"[(31, 39)]",NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(30, 40)]",NO_PEAK,"[]"
